Id,Predicted
Mercury Rising ,6.2264628410339355
The Last Castle ,6.320578575134277
Dark Water ,6.039441108703613
The Internship ,6.380218982696533
The Nutty Professor ,5.860487461090088
Muppets Most Wanted ,6.319396018981934
Flags of Our Fathers ,6.8949785232543945
Lucky You ,6.1788482666015625
Valentine's Day ,6.181678295135498
Casino ,8.137033462524414
Robin Hood: Prince of Thieves ,6.894435405731201
Patch Adams ,6.300781726837158
22 Jump Street ,7.077838897705078
Payback ,6.266475677490234
"Crazy, Stupid, Love. ",7.178469657897949
The Game ,7.691448211669922
Into the Storm ,5.500967979431152
For Love of the Game ,6.495485305786133
The Iron Giant ,6.665562152862549
Baby's Day Out ,5.630984783172607
Gamer ,6.155413627624512
Chappie ,6.812899112701416
The Tooth Fairy ,5.1403350830078125
3:10 to Yuma ,7.354805946350098
The Thomas Crown Affair ,6.513453006744385
America's Sweethearts ,5.8463521003723145
Courage Under Fire ,6.204689979553223
The Muppets ,6.404348850250244
Blended ,6.176477909088135
The Bounty Hunter ,6.142556667327881
Pinocchio ,7.758305549621582
42 ,6.731246471405029
Vantage Point ,6.340480804443359
Shall We Dance ,5.807823181152344
The Prestige ,8.29733943939209
Gothika ,5.954336643218994
Amistad ,7.137139797210693
The Guilt Trip ,5.298107147216797
Scream 4 ,6.084272384643555
Pay It Forward ,6.7844014167785645
A Million Ways to Die in the West ,6.828756809234619
Morning Glory ,6.036721706390381
Memoirs of an Invisible Man ,5.424107074737549
Soul Men ,5.915060997009277
The Ugly Truth ,6.458395004272461
Sgt. Bilko ,5.131243705749512
The Express ,6.692986011505127
What to Expect When You're Expecting ,6.198215007781982
Cop Out ,6.086976051330566
Hot Tub Time Machine ,6.562966346740723
Aloha ,5.758432865142822
Ghosts of Mississippi ,5.976622581481934
A Nightmare on Elm Street ,7.283123016357422
Radio ,6.124656677246094
Must Love Dogs ,5.379895210266113
The Bad News Bears ,6.372133255004883
Hot Pursuit ,5.2972540855407715
Lions for Lambs ,5.915731906890869
Stigmata ,5.448525905609131
Cats Don't Dance ,5.4978156089782715
The Good German ,6.567565441131592
Going the Distance ,6.045854091644287
Vacation ,6.3761186599731445
The Addams Family ,6.2582011222839355
Glory Road ,6.707723140716553
Sicario ,7.19223690032959
The Age of Adaline ,6.807016849517822
Little Shop of Horrors ,6.318506240844727
Hanna ,6.558577060699463
What's the Worst That Could Happen? ,5.205112457275391
Virtuosity ,5.752998352050781
Love & Other Drugs ,6.865499019622803
88 Minutes ,6.613402366638184
Mumford ,6.212841987609863
Straight Outta Compton ,7.4882941246032715
Blade Runner ,8.299412727355957
3 Days to Kill ,6.327760696411133
The Right Stuff ,7.11072301864624
Shakespeare in Love ,7.306765556335449
Open Range ,6.9649577140808105
Pain & Gain ,7.052082061767578
The Passion of the Christ ,7.275156497955322
The Best of Me ,6.403493881225586
Agent Cody Banks ,5.886169910430908
Money Talks ,5.506834506988525
There Will Be Blood ,8.079978942871094
He Got Game ,6.992406368255615
Don Juan DeMarco ,5.803485870361328
Lords of Dogtown ,6.76473331451416
Mrs. Winterbourne ,5.624847888946533
Tank Girl ,5.715439796447754
King's Ransom ,5.196517467498779
Jane Got a Gun ,5.636852741241455
Old School ,6.621762752532959
The Fisher King ,7.164480686187744
"Girl, Interrupted ",7.53577184677124
Muppets from Space ,6.105112075805664
Play It to the Bone ,6.481371879577637
I Don't Know How She Does It ,5.483740329742432
Zombieland ,7.57423210144043
Marvin's Room ,6.015931606292725
Vanity Fair ,6.960852146148682
Spaceballs ,7.234982013702393
Delivery Man ,6.203242778778076
The Conjuring ,7.171279430389404
White Chicks ,5.904776096343994
Lakeview Terrace ,6.3883562088012695
Vampires Suck ,4.80821418762207
Nancy Drew ,5.768885135650635
Shorts ,4.843118190765381
Psycho ,8.39526653289795
Under the Rainbow ,4.767566680908203
The Weather Man ,6.592322826385498
Ghost Town ,6.438144207000732
We're No Angels ,5.957849502563477
People I Know ,6.180978775024414
Take Me Home Tonight ,6.124080657958984
Indignation ,6.100985050201416
Deuce Bigalow: Male Gigolo ,6.243618965148926
My Big Fat Greek Wedding 2 ,6.172037124633789
Peggy Sue Got Married ,6.0253801345825195
Honey ,5.9028096199035645
Small Time Crooks ,6.132111549377441
Youth in Revolt ,6.314274311065674
The Salton Sea ,6.303612232208252
Let's Be Cops ,6.091239929199219
Good Boy! ,4.92669677734375
Lottery Ticket ,4.838562965393066
ATL ,5.1267900466918945
Fur: An Imaginary Portrait of Diane Arbus ,6.97265100479126
Sense and Sensibility ,7.394204616546631
Dead Poets Society ,7.89510440826416
The Women ,6.052547454833984
Boys and Girls ,5.531668663024902
How to Deal ,5.014230728149414
Philadelphia ,7.61603307723999
Why Did I Get Married? ,5.515247344970703
The Great Debaters ,7.144031524658203
The Object of My Affection ,6.381381034851074
When the Game Stands Tall ,6.1368727684021
The Place Beyond the Pines ,7.525481700897217
One Day ,7.020700931549072
The Midnight Meat Train ,6.4069504737854
The Good Night ,5.679274559020996
Pretty Woman ,7.659272193908691
My Bloody Valentine ,5.810457229614258
Stomp the Yard ,6.12577486038208
Poetic Justice ,6.485272407531738
Thinner ,5.877600193023682
Margaret ,6.858184814453125
Justin Bieber: Never Say Never ,6.880532741546631
10 Things I Hate About You ,7.114583969116211
Loaded Weapon 1 ,5.756584167480469
Admission ,6.2006072998046875
Antwone Fisher ,6.996584892272949
The Exorcist ,7.753666877746582
Jaws ,8.408000946044922
Act of Valor ,6.282384872436523
Harold & Kumar Escape from Guantanamo Bay ,6.838982105255127
Max Keeble's Big Move ,5.328834533691406
Sorority Boys ,5.4016194343566895
For Your Consideration ,5.551857948303223
Running with Scissors ,6.6954851150512695
The Pursuit of D.B. Cooper ,5.735874176025391
The Dangerous Lives of Altar Boys ,6.335977554321289
Tomcats ,5.716645240783691
Inside Llewyn Davis ,7.13842248916626
September Dawn ,5.98077392578125
Good Will Hunting ,8.520256996154785
Saw III ,6.823051929473877
Commando ,7.418951511383057
Pete's Dragon ,5.590400218963623
The Long Riders ,6.107736587524414
Seeking a Friend for the End of the World ,7.0758538246154785
Rescue Dawn ,7.245124816894531
The Forest ,5.708625793457031
The Joneses ,6.36951208114624
Rosewater ,6.253684997558594
Elsa & Fred ,5.053301811218262
Eulogy ,5.709628582000732
Next Friday ,6.00002908706665
Re-Kill ,4.644865989685059
Fiddler on the Roof ,7.67763614654541
Detention ,5.969179153442383
The Sound of Music ,8.394054412841797
Drive Me Crazy ,5.830139636993408
The Wendell Baker Story ,5.848085403442383
Witless Protection ,5.179753303527832
The Godfather ,9.007323265075684
Who's Your Caddy? ,5.209079742431641
Redbelt ,6.803192138671875
Stargate: The Ark of Truth ,5.301826477050781
Dazed and Confused ,7.71148681640625
Bernie ,6.450992107391357
Ouija ,5.531811714172363
"20,000 Leagues Under the Sea ",7.481900691986084
Oculus ,6.12333345413208
"As Above, So Below ",5.714062213897705
Friday the 13th Part VIII: Jason Takes Manhattan ,5.8680009841918945
Diner ,6.426527976989746
The Forsaken ,4.94387149810791
Rabbit Hole ,6.870049953460693
Green Room ,6.543360710144043
Dead Like Me: Life After Death ,5.157988548278809
Capricorn One ,6.690771579742432
Hostel ,6.45182466506958
25th Hour ,7.8540425300598145
Silent Movie ,6.072147846221924
Hansel & Gretel Get Baked ,5.329503536224365
The Front Page ,6.293293476104736
The Rules of Attraction ,6.802785873413086
Topaz ,7.324929237365723
Samsara ,7.06038236618042
Trust ,6.436692714691162
Another Happy Day ,5.65127420425415
Midnight Cowboy ,7.661361217498779
The Nun's Story ,7.558187007904053
Harper ,6.655970573425293
The Original Kings of Comedy ,6.012765407562256
Dave Chappelle's Block Party ,6.329237461090088
Next Day Air ,4.796942234039307
Bachelorette ,6.329537391662598
Enter the Dangerous Mind ,5.501535892486572
Pocketful of Miracles ,6.674582481384277
Hustle & Flow ,6.866823196411133
The Wizard of Oz ,8.61764907836914
A Guy Named Joe ,7.0906982421875
Timber Falls ,5.015137195587158
That Thing You Do! ,6.836419582366943
Get on the Bus ,6.582371234893799
Friday the 13th: A New Beginning ,5.290918350219727
It Follows ,6.131265163421631
Full Frontal ,6.353798866271973
Sherrybaby ,6.855404376983643
Rockaway ,4.333425998687744
The Marine 4: Moving Target ,4.922713279724121
"Happy, Texas ",6.075319766998291
Kids ,7.701523780822754
Kissing Jessica Stein ,6.559333324432373
The Believer ,7.253884792327881
Snow Angels ,6.744382858276367
Session 9 ,5.79534912109375
Hatchet ,6.1712141036987305
Checkmate ,4.6682891845703125
The Hebrew Hammer ,5.966887474060059
C.H.U.D. ,5.348644256591797
Extreme Movie ,4.903525352478027
Sands of Iwo Jima ,6.815881729125977
Next Stop Wonderland ,6.51588773727417
Obvious Child ,5.925015926361084
Frozen River ,6.762345314025879
Special ,5.635468482971191
Hits ,5.899062156677246
Black Rock ,4.508369445800781
Charly ,6.622679233551025
The Brass Teapot ,5.696551322937012
Safety Not Guaranteed ,6.947319030761719
L.I.E. ,5.856010913848877
Adulterers ,6.011209964752197
To Save a Life ,6.119798183441162
Beyond the Mat ,7.0794830322265625
The Little Ponderosa Zoo ,5.731055736541748
42nd Street ,7.256293773651123
Paranormal Activity ,6.307359218597412
I Want Your Money ,5.913557529449463
The Broadway Melody ,6.8871259689331055
Pieces of April ,6.448991775512695
Lovely & Amazing ,6.629132270812988
Death Calls ,4.684417724609375
An American Girl Holiday ,5.934962749481201
A Charlie Brown Christmas ,6.770026206970215
Facing the Giants ,5.957488536834717
The Call of Cthulhu ,6.120426654815674
Raymond Did It ,3.3499417304992676
